BRAGA,1
CAPELA VELHA,1
SAO DOMINGOS,1
SAO CRISTOVAO,1
BONECA DO IGUACU,1
ESTANCIA PINHAIS,1
LOTEAMENTO MARINONI,1
CIDADE JARDIM,1
BOM RETIRO,1
UMBARA,1
SAO LOURENCO,1
LAMENHA GRANDE,1
TANGUA,1
SILVEIRA DA MOTTA,1
SAO PEDRO,1
CRUZEIRO,1
MONZA,1
CAMPO DO SANTANA,1
VILA OFICINAS,1
AVENIDA IGUACU,1
ALTO DA RUA XV,2
SANTO ANTONIO,2
SAO GABRIEL,2
EMILIANO PERNETA,2
THOMAZ COELHO,2
PRADO VELHO,2
WEISSOPOLIS,2
BUTIATUVINHA,2
SANTO INACIO,2
COSTEIRA,2
TARUMA,3
PAROLIN,3
CAMPO PEQUENO,3
SEMINARIO,3
JARDIM SOCIAL,3
LINDOIA,3
GUARANI,3
HAUER,3
ARISTOCRATA,3
MOSSUNGUE,4
AFONSO PENA,4
SANTA QUITERIA,4
CACHOEIRA,4
GANCHINHO,4
SAO FRANCISCO,4
JARDIM BOTANICO,5
JUVEVE,5
ORLEANS,5
CAMPINA DO SIQUEIRA,5
CAMPO DE SANTANA,6
FANNY,6
ALTO BOQUEIRAO,6
CENTRO CIVICO,6
TATUQUARA,6
ALTO DA GLORIA,7
SAO JOAO,7
GUABIROTUBA,7
CAPAO DA IMBUIA,7
FAZENDINHA,8
BATEL,8
PINHEIRINHO,8
TINGUI,9
ATUBA,9
JARDIM DAS AMERICAS,9
CAMPO COMPRIDO,9
ABRANCHES,11
VILA IZABEL,11
VISTA ALEGRE,11
CABRAL,11
SAO BRAZ,11
GUAIRA,12
MERCES,12
AHU,12
BARREIRINHA,12
CRISTO REI,15
SANTA FELICIDADE,15
SITIO CERCADO,16
UBERABA,18
BIGORRILHO,18
NOVO MUNDO,18
BAIRRO ALTO,19
PILARZINHO,19
SANTA CANDIDA,19
CAPAO RASO,23
BOA VISTA,23
XAXIM,24
BACACHERI,25
CIDADE INDUSTRIAL,34
PORTAO,35
CAJURU,39
BOQUEIRAO,43
REBOUCAS,44
AGUA VERDE,54
CENTRO,85
